TITLE	n2200-mesi
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/12/23
TIME	11:03:20
SPECTROMETER/DATA SYSTEM	
LOCALE	1033
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	 1600.0000
LASTX	  200.0000
NPOINTS	    2801
FIRSTY	     0.01744
MAXY	     1.24442
MINY	     0.01744
XYDATA
1600.0000	0.0174407
1599.5000	0.0174423
1599.0000	0.0174555
1598.5000	0.0174616
1598.0000	0.0174742
1597.5000	0.0174802
1597.0000	0.0174957
1596.5000	0.0175015
1596.0000	0.0175175
1595.5000	0.0175178
1595.0000	0.0175161
1594.5000	0.0175151
1594.0000	0.0175148
1593.5000	0.017514
1593.0000	0.0175169
1592.5000	0.017524
1592.0000	0.0175323
1591.5000	0.0175351
1591.0000	0.017537
1590.5000	0.0175387
1590.0000	0.0175575
1589.5000	0.0175667
1589.0000	0.0175762
1588.5000	0.0175789
1588.0000	0.0175854
1587.5000	0.0175895
1587.0000	0.0176061
1586.5000	0.0176164
1586.0000	0.0176321
1585.5000	0.0176421
1585.0000	0.0176563
1584.5000	0.0176687
1584.0000	0.0176784
1583.5000	0.0176805
1583.0000	0.0176858
1582.5000	0.0176933
1582.0000	0.0177045
1581.5000	0.0177122
1581.0000	0.0177172
1580.5000	0.0177153
1580.0000	0.0177098
1579.5000	0.0177056
1579.0000	0.0176855
1578.5000	0.017681
1578.0000	0.0176686
1577.5000	0.0176577
1577.0000	0.017635
1576.5000	0.0176191
1576.0000	0.0175895
1575.5000	0.017579
1575.0000	0.0175669
1574.5000	0.0175542
1574.0000	0.0175398
1573.5000	0.0175289
1573.0000	0.0175183
1572.5000	0.0175219
1572.0000	0.0175135
1571.5000	0.0175154
1571.0000	0.0175179
1570.5000	0.0175283
1570.0000	0.0175391
1569.5000	0.0175559
1569.0000	0.0175668
1568.5000	0.0175712
1568.0000	0.0175736
1567.5000	0.0175835
1567.0000	0.0175992
1566.5000	0.0176132
1566.0000	0.0176314
1565.5000	0.0176368
1565.0000	0.0176466
1564.5000	0.0176665
1564.0000	0.0176755
1563.5000	0.0176917
1563.0000	0.0177053
1562.5000	0.0177185
1562.0000	0.0177364
1561.5000	0.0177482
1561.0000	0.0177576
1560.5000	0.0177676
1560.0000	0.0177846
1559.5000	0.0178017
1559.0000	0.0178185
1558.5000	0.0178313
1558.0000	0.017835
1557.5000	0.0178406
1557.0000	0.0178376
1556.5000	0.0178484
1556.0000	0.017852
1555.5000	0.0178604
1555.0000	0.0178662
1554.5000	0.0178735
1554.0000	0.0178692
1553.5000	0.0178657
1553.0000	0.0178575
1552.5000	0.0178612
1552.0000	0.017862
1551.5000	0.0178638
1551.0000	0.0178555
1550.5000	0.0178559
1550.0000	0.0178409
