TITLE	N2200
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	22/02/25
TIME	12:41:00
SPECTROMETER/DATA SYSTEM	
LOCALE	1033
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	 1600.0000
LASTX	  200.0000
NPOINTS	    2801
FIRSTY	     0.00109
MAXY	    10.00000
MINY	    -0.78610
XYDATA
1600.0000	0.00108647
1599.5000	0.00108747
1599.0000	0.00109228
1598.5000	0.00109778
1598.0000	0.00110301
1597.5000	0.00110774
1597.0000	0.00111527
1596.5000	0.00111941
1596.0000	0.00112074
1595.5000	0.00112083
1595.0000	0.00112271
1594.5000	0.00112738
1594.0000	0.00113663
1593.5000	0.00114533
1593.0000	0.00115889
1592.5000	0.00117507
1592.0000	0.0011911
1591.5000	0.00120503
1591.0000	0.00121566
1590.5000	0.00122288
1590.0000	0.00122526
1589.5000	0.00122814
1589.0000	0.0012317
1588.5000	0.00123637
1588.0000	0.00124115
1587.5000	0.00125037
1587.0000	0.00126085
1586.5000	0.00127215
1586.0000	0.0012815
1585.5000	0.00128522
1585.0000	0.0012873
1584.5000	0.00128676
1584.0000	0.00128357
1583.5000	0.00127919
1583.0000	0.00127478
1582.5000	0.00127582
1582.0000	0.00128041
1581.5000	0.00128769
1581.0000	0.00129345
1580.5000	0.00129809
1580.0000	0.00130188
1579.5000	0.00130404
1579.0000	0.00130292
1578.5000	0.00129863
1578.0000	0.00129388
1577.5000	0.00129202
1577.0000	0.00129238
1576.5000	0.00129521
1576.0000	0.00129904
1575.5000	0.001305
1575.0000	0.00131153
1574.5000	0.00131705
1574.0000	0.00132141
1573.5000	0.00132279
1573.0000	0.00132221
1572.5000	0.00132022
1572.0000	0.00132068
1571.5000	0.00132109
1571.0000	0.00132217
1570.5000	0.00132505
1570.0000	0.00132889
1569.5000	0.00133519
1569.0000	0.00134025
1568.5000	0.00134345
1568.0000	0.00134406
1567.5000	0.00134486
1567.0000	0.00134444
1566.5000	0.00134291
1566.0000	0.00134233
1565.5000	0.00134047
1565.0000	0.00134156
1564.5000	0.00134477
1564.0000	0.00134824
1563.5000	0.00135121
1563.0000	0.0013522
1562.5000	0.00135389
1562.0000	0.00135574
1561.5000	0.00135589
1561.0000	0.00135305
1560.5000	0.0013504
1560.0000	0.00134895
1559.5000	0.00134859
1559.0000	0.00134875
1558.5000	0.0013498
1558.0000	0.00135091
1557.5000	0.00135375
1557.0000	0.00135739
1556.5000	0.00135876
1556.0000	0.00135853
1555.5000	0.00135669
1555.0000	0.00135575
1554.5000	0.00135514
1554.0000	0.00135472
1553.5000	0.00135374
1553.0000	0.00135477
1552.5000	0.00135851
1552.0000	0.00136419
1551.5000	0.00136699
1551.0000	0.00136938
1550.5000	0.00137038
1550.0000	0.00136835
