TITLE	N2200
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/10/25
TIME	14:51:38
SPECTROMETER/DATA SYSTEM	
LOCALE	1033
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	 1600.0000
LASTX	  200.0000
NPOINTS	    2801
FIRSTY	     0.00051
MAXY	     0.09831
MINY	    -0.00346
XYDATA
1600.0000	0.000512587
1599.5000	0.000512652
1599.0000	0.000512812
1598.5000	0.000516224
1598.0000	0.00051461
1597.5000	0.00051588
1597.0000	0.000518407
1596.5000	0.000516195
1596.0000	0.000514152
1595.5000	0.000513272
1595.0000	0.000514126
1594.5000	0.000508624
1594.0000	0.000510823
1593.5000	0.000510181
1593.0000	0.000513687
1592.5000	0.000518736
1592.0000	0.000520295
1591.5000	0.000518911
1591.0000	0.000520996
1590.5000	0.00052009
1590.0000	0.000520365
1589.5000	0.000520676
1589.0000	0.00052666
1588.5000	0.000522371
1588.0000	0.000524951
1587.5000	0.00052495
1587.0000	0.000522769
1586.5000	0.000520916
1586.0000	0.000521189
1585.5000	0.000520995
1585.0000	0.000525159
1584.5000	0.000525722
1584.0000	0.000529079
1583.5000	0.000530102
1583.0000	0.000534425
1582.5000	0.000534073
1582.0000	0.000542422
1581.5000	0.000545203
1581.0000	0.000546366
1580.5000	0.000546222
1580.0000	0.000547401
1579.5000	0.000548625
1579.0000	0.000549571
1578.5000	0.000549274
1578.0000	0.000552991
1577.5000	0.000551783
1577.0000	0.000553644
1576.5000	0.000552513
1576.0000	0.000553818
1575.5000	0.000549841
1575.0000	0.000551981
1574.5000	0.000555573
1574.0000	0.00055882
1573.5000	0.000560244
1573.0000	0.000561128
1572.5000	0.000559731
1572.0000	0.000563828
1571.5000	0.000562741
1571.0000	0.000563266
1570.5000	0.00056569
1570.0000	0.000565371
1569.5000	0.000563642
1569.0000	0.000568073
1568.5000	0.000567847
1568.0000	0.000563122
1567.5000	0.000561509
1567.0000	0.000562766
1566.5000	0.000563286
1566.0000	0.000562535
1565.5000	0.000561773
1565.0000	0.000565296
1564.5000	0.000567384
1564.0000	0.000567866
1563.5000	0.000568889
1563.0000	0.000572483
1562.5000	0.000571621
1562.0000	0.000573809
1561.5000	0.000575342
1561.0000	0.000574786
1560.5000	0.000573483
1560.0000	0.000574324
1559.5000	0.000578249
1559.0000	0.000577641
1558.5000	0.000574893
1558.0000	0.000575472
1557.5000	0.000573862
1557.0000	0.000573029
1556.5000	0.000570236
1556.0000	0.00057096
1555.5000	0.000574382
1555.0000	0.000576058
1554.5000	0.000576366
1554.0000	0.000579393
1553.5000	0.000581541
1553.0000	0.000580872
1552.5000	0.000582127
1552.0000	0.000584792
1551.5000	0.000585031
1551.0000	0.000585915
1550.5000	0.000588331
1550.0000	0.000593772
