TITLE	N2200
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/10/25
TIME	14:45:38
SPECTROMETER/DATA SYSTEM	
LOCALE	1033
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	 1600.0000
LASTX	  200.0000
NPOINTS	    2801
FIRSTY	     0.00131
MAXY	     0.15696
MINY	     0.00131
XYDATA
1600.0000	0.00131171
1599.5000	0.00131459
1599.0000	0.00131417
1598.5000	0.00131659
1598.0000	0.0013197
1597.5000	0.00132359
1597.0000	0.00132933
1596.5000	0.00132883
1596.0000	0.00132918
1595.5000	0.0013281
1595.0000	0.00132947
1594.5000	0.00132998
1594.0000	0.00133476
1593.5000	0.00133757
1593.0000	0.00133948
1592.5000	0.0013419
1592.0000	0.00134476
1591.5000	0.00134393
1591.0000	0.00134377
1590.5000	0.00134258
1590.0000	0.0013451
1589.5000	0.00134673
1589.0000	0.00135173
1588.5000	0.0013537
1588.0000	0.00135761
1587.5000	0.00135828
1587.0000	0.00136106
1586.5000	0.00136245
1586.0000	0.00136326
1585.5000	0.00136383
1585.0000	0.00136961
1584.5000	0.00137352
1584.0000	0.00137939
1583.5000	0.00138126
1583.0000	0.0013876
1582.5000	0.00139236
1582.0000	0.00139738
1581.5000	0.00140003
1581.0000	0.00139886
1580.5000	0.0013999
1580.0000	0.00140005
1579.5000	0.00140047
1579.0000	0.00140133
1578.5000	0.00140002
1578.0000	0.0013985
1577.5000	0.00139974
1577.0000	0.00140259
1576.5000	0.00140226
1576.0000	0.00140162
1575.5000	0.00140175
1575.0000	0.00140415
1574.5000	0.00140683
1574.0000	0.00141081
1573.5000	0.00141281
1573.0000	0.00141645
1572.5000	0.00141846
1572.0000	0.00142371
1571.5000	0.00142585
1571.0000	0.00142777
1570.5000	0.0014293
1570.0000	0.00143022
1569.5000	0.0014271
1569.0000	0.00143093
1568.5000	0.00143109
1568.0000	0.00143277
1567.5000	0.00143597
1567.0000	0.00144132
1566.5000	0.00144186
1566.0000	0.00144369
1565.5000	0.00144427
1565.0000	0.00144398
1564.5000	0.00144515
1564.0000	0.00144822
1563.5000	0.00145218
1563.0000	0.00145567
1562.5000	0.00145287
1562.0000	0.00145497
1561.5000	0.00145377
1561.0000	0.00145037
1560.5000	0.00144993
1560.0000	0.00145121
1559.5000	0.00145424
1559.0000	0.00145417
1558.5000	0.00145485
1558.0000	0.00145848
1557.5000	0.00145809
1557.0000	0.00145755
1556.5000	0.00145888
1556.0000	0.00146573
1555.5000	0.00146832
1555.0000	0.00147274
1554.5000	0.00147422
1554.0000	0.00147909
1553.5000	0.00148283
1553.0000	0.00148732
1552.5000	0.00148983
1552.0000	0.0014953
1551.5000	0.00149795
1551.0000	0.00149941
1550.5000	0.00150013
1550.0000	0.00150273
