TITLE	N2200
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/10/25
TIME	15:06:11
SPECTROMETER/DATA SYSTEM	
LOCALE	1033
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	 1600.0000
LASTX	  200.0000
NPOINTS	    2801
FIRSTY	     0.01286
MAXY	     0.42293
MINY	     0.01286
XYDATA
1600.0000	0.0128588
1599.5000	0.0128628
1599.0000	0.012871
1598.5000	0.012877
1598.0000	0.0128846
1597.5000	0.0128891
1597.0000	0.0128938
1596.5000	0.0128968
1596.0000	0.0129039
1595.5000	0.0129073
1595.0000	0.0129168
1594.5000	0.0129217
1594.0000	0.0129314
1593.5000	0.0129378
1593.0000	0.0129513
1592.5000	0.0129588
1592.0000	0.0129682
1591.5000	0.0129721
1591.0000	0.012982
1590.5000	0.0129843
1590.0000	0.0129944
1589.5000	0.0130001
1589.0000	0.0130141
1588.5000	0.0130174
1588.0000	0.0130261
1587.5000	0.0130324
1587.0000	0.0130419
1586.5000	0.0130455
1586.0000	0.0130535
1585.5000	0.0130588
1585.0000	0.013068
1584.5000	0.0130746
1584.0000	0.0130885
1583.5000	0.0130927
1583.0000	0.0131017
1582.5000	0.0131064
1582.0000	0.0131203
1581.5000	0.0131285
1581.0000	0.013135
1580.5000	0.013139
1580.0000	0.0131457
1579.5000	0.0131516
1579.0000	0.0131606
1578.5000	0.0131689
1578.0000	0.0131786
1577.5000	0.0131831
1577.0000	0.0131929
1576.5000	0.0131983
1576.0000	0.0132089
1575.5000	0.0132123
1575.0000	0.0132204
1574.5000	0.0132281
1574.0000	0.0132394
1573.5000	0.0132444
1573.0000	0.0132551
1572.5000	0.0132596
1572.0000	0.0132666
1571.5000	0.0132704
1571.0000	0.0132795
1570.5000	0.0132872
1570.0000	0.0132936
1569.5000	0.0132927
1569.0000	0.0133011
1568.5000	0.0133046
1568.0000	0.0133086
1567.5000	0.0133121
1567.0000	0.0133215
1566.5000	0.0133272
1566.0000	0.0133381
1565.5000	0.0133453
1565.0000	0.0133533
1564.5000	0.0133589
1564.0000	0.0133667
1563.5000	0.0133745
1563.0000	0.0133869
1562.5000	0.0133897
1562.0000	0.0133989
1561.5000	0.0134047
1561.0000	0.0134127
1560.5000	0.0134158
1560.0000	0.0134245
1559.5000	0.0134328
1559.0000	0.0134419
1558.5000	0.0134481
1558.0000	0.0134574
1557.5000	0.013462
1557.0000	0.0134701
1556.5000	0.0134733
1556.0000	0.013485
1555.5000	0.0134956
1555.0000	0.013507
1554.5000	0.013514
1554.0000	0.0135258
1553.5000	0.0135361
1553.0000	0.0135392
1552.5000	0.0135424
1552.0000	0.0135559
1551.5000	0.013562
1551.0000	0.0135696
1550.5000	0.013576
1550.0000	0.0135876
1549.5000	0.0135942
